id,post_id,user_id,rating_percent,rated_at
129,34,1,61,2024-04-04 22:42:54
130,415,1,63,2024-04-04 22:43:00
131,726,1,68,2024-04-04 22:43:13
132,436,18,28,2024-04-05 02:12:14
133,16,18,29,2024-04-05 02:12:23
134,154,18,55,2024-04-05 02:12:25
135,153,18,7,2024-04-05 02:12:28
136,590,1,29,2024-04-05 17:34:42
137,58,1,36,2024-04-05 17:34:49
138,28,1,51,2024-04-05 17:34:55
139,30,1,61,2024-04-05 17:35:01
140,50,1,49,2024-04-05 17:35:03
141,49,1,61,2024-04-05 17:35:07
142,36,47,19,2024-04-05 18:43:18
143,38,47,18,2024-04-05 18:43:20
144,56,47,13,2024-04-05 18:43:59
145,16,47,15,2024-04-05 18:44:00
146,434,9,64,2024-04-09 09:49:12
147,30,9,37,2024-04-09 09:49:19
148,50,9,67,2024-04-09 09:49:25
149,49,9,33,2024-04-09 09:49:44
150,15,9,68,2024-04-09 09:55:48
151,15,47,16,2024-04-10 19:03:33
152,52,9,67,2024-04-12 13:20:06
153,129,9,47,2024-04-12 13:20:08
154,152,5,82,2024-04-13 12:54:51
155,153,5,24,2024-04-13 12:55:54
156,160,5,12,2024-04-13 12:56:08
157,33,5,58,2024-04-13 12:56:11
158,461,5,17,2024-04-13 12:56:17
159,727,5,70,2024-04-13 12:56:22
160,43,5,19,2024-04-13 12:56:24
161,23,5,52,2024-04-13 12:56:30
162,583,5,84,2024-04-13 12:56:33
163,434,5,43,2024-04-13 12:56:35
165,148,5,38,2024-04-13 12:56:45
166,35,5,56,2024-04-15 06:46:14
167,15,18,68,2024-04-16 05:18:22
168,516,18,26,2024-04-16 05:18:24
169,461,18,38,2024-04-16 05:18:29
170,722,18,23,2024-04-16 05:19:18
172,28,18,32,2024-04-16 05:19:32
173,724,5,26,2024-04-16 07:03:50
174,549,5,20,2024-04-16 07:04:06
175,513,5,27,2024-04-16 07:04:07
176,517,5,65,2024-04-16 07:04:22
177,164,5,86,2024-04-16 07:04:45
178,86,5,53,2024-04-16 07:04:47
179,49,5,41,2024-04-16 07:04:50
180,30,5,57,2024-04-16 07:04:54
181,137,9,49,2024-04-16 11:01:42
182,135,9,73,2024-04-16 11:01:45
183,133,9,63,2024-04-16 11:01:48
184,138,9,64,2024-04-16 11:02:10
185,27,9,68,2024-04-16 11:02:11
186,26,9,45,2024-04-16 11:02:13
187,131,9,63,2024-04-16 11:16:52
188,130,9,17,2024-04-16 11:16:52
189,85,9,39,2024-04-16 11:23:19
190,84,9,59,2024-04-16 11:48:08
191,436,9,65,2024-04-16 14:13:01
192,358,9,57,2024-04-16 15:48:32
193,158,9,21,2024-04-16 15:52:05
194,156,9,66,2024-04-16 15:52:08
195,26,1,37,2024-04-16 16:17:52
196,131,1,63,2024-04-16 16:17:54
197,376,9,78,2024-04-16 20:53:46
198,359,9,74,2024-04-16 20:54:15
199,137,1,58,2024-04-17 16:04:51
200,138,1,33,2024-04-17 16:04:52
201,159,19,93,2024-04-17 17:01:53
202,27,1,63,2024-04-17 17:09:51
203,129,1,64,2024-04-17 17:09:53
204,135,1,21,2024-04-17 17:09:55
205,359,1,20,2024-04-17 17:09:57
206,376,1,88,2024-04-17 17:09:59
207,173,1,41,2024-04-17 17:10:00
208,39,1,95,2024-04-17 17:10:03
209,13,1,22,2024-04-17 17:10:04
210,362,1,18,2024-04-17 17:10:06
211,17,1,21,2024-04-17 17:10:12
213,177,1,17,2024-04-17 17:10:19
214,130,1,51,2024-04-17 17:10:24
215,15,1,34,2024-04-17 17:10:28
216,158,1,58,2024-04-17 17:10:30
217,84,1,73,2024-04-17 17:10:35
218,31,1,20,2024-04-17 17:10:37
219,36,1,60,2024-04-17 17:10:47
220,979,9,34,2024-04-17 17:44:46
221,84,18,15,2024-04-17 22:53:55
222,979,18,27,2024-04-17 22:53:55
223,722,5,18,2024-04-18 10:52:29
224,177,5,13,2024-04-18 10:52:57
225,130,5,76,2024-04-18 13:32:42
226,84,5,12,2024-04-18 13:32:45
227,15,5,11,2024-04-18 13:32:48
228,177,18,57,2024-04-18 16:48:20
229,362,18,21,2024-04-18 16:48:22
230,130,18,16,2024-04-18 19:14:56
231,173,18,49,2024-04-18 23:10:00
232,17,18,72,2024-04-18 23:10:15
233,159,190,21,2024-04-19 11:53:11
234,560,190,17,2024-04-19 11:53:23
235,161,190,22,2024-04-19 11:53:36
236,143,190,19,2024-04-19 11:54:22
237,151,190,19,2024-04-19 11:54:34
238,33,190,19,2024-04-19 11:54:50
239,415,190,15,2024-04-19 11:55:11
240,86,190,14,2024-04-19 11:55:13
241,540,190,34,2024-04-19 11:55:25
242,512,190,22,2024-04-19 11:55:42
243,40,190,15,2024-04-19 11:55:52
244,52,190,19,2024-04-19 11:55:53
245,154,190,23,2024-04-19 11:55:55
246,31,190,12,2024-04-19 11:55:56
247,19,190,7,2024-04-19 11:56:57
248,142,190,16,2024-04-19 11:57:12
249,150,190,10,2024-04-19 11:57:27
250,155,190,14,2024-04-19 11:57:29
251,516,190,9,2024-04-19 11:57:35
252,160,190,25,2024-04-19 11:57:59
253,724,190,11,2024-04-19 11:58:04
254,153,190,15,2024-04-19 11:58:18
255,436,190,20,2024-04-19 11:58:51
256,722,190,17,2024-04-19 11:58:53
257,158,190,21,2024-04-19 11:59:54
258,43,190,12,2024-04-19 12:00:18
259,549,190,12,2024-04-19 12:00:37
260,28,190,23,2024-04-19 12:01:35
262,137,190,25,2024-04-19 12:02:10
263,461,190,15,2024-04-19 12:02:20
264,513,190,20,2024-04-19 12:02:33
265,135,190,25,2024-04-19 12:02:43
266,359,190,14,2024-04-19 12:03:02
267,177,190,11,2024-04-19 12:08:08
268,130,190,13,2024-04-19 12:09:19
269,15,190,19,2024-04-19 12:10:49
270,84,190,14,2024-04-19 12:11:04
271,629,190,40,2024-04-19 12:11:06
272,173,190,18,2024-04-19 12:11:53
273,56,190,31,2024-04-19 12:12:14
274,362,190,22,2024-04-19 12:12:27
276,13,190,13,2024-04-19 12:13:34
277,979,190,11,2024-04-19 12:13:39
278,38,190,22,2024-04-19 12:13:42
279,60,190,26,2024-04-19 12:14:02
280,558,190,21,2024-04-19 12:14:14
281,36,190,6,2024-04-19 12:14:43
282,34,18,21,2024-04-21 18:00:28
283,131,18,13,2024-04-21 18:00:28
284,133,18,23,2024-04-21 18:00:40
285,155,18,31,2024-04-23 16:26:28
286,13,18,31,2024-04-23 16:26:51
287,724,18,29,2024-04-23 16:27:27
288,43,18,23,2024-04-23 16:27:38
289,158,18,10,2024-04-23 16:27:41
290,137,18,1,2024-04-23 16:27:42
291,155,9,47,2024-04-23 17:36:46
292,414,9,70,2024-04-23 17:37:07
293,1007,9,73,2024-04-23 17:37:10
294,424,9,63,2024-04-23 17:37:13
295,423,9,66,2024-04-23 17:37:23
296,416,9,46,2024-04-23 17:39:27
297,1006,9,71,2024-04-23 17:46:49
298,426,9,52,2024-04-23 17:46:58
299,159,187,61,2024-04-24 17:18:26
300,560,19,93,2024-04-25 18:05:25
301,13,152,8,2024-04-26 02:28:31
302,362,152,9,2024-04-26 02:28:32
303,161,19,22,2024-04-26 17:11:13
305,1006,152,6,2024-04-28 03:51:27
306,549,152,7,2024-04-28 03:51:33
307,135,152,10,2024-04-28 14:14:00
308,359,152,8,2024-04-28 14:14:02
309,133,152,15,2024-04-28 14:14:05
310,131,152,6,2024-04-28 14:14:06
311,17,152,7,2024-04-28 14:14:08
312,34,152,11,2024-04-28 14:14:09
313,426,152,9,2024-04-28 14:14:12
314,434,152,29,2024-04-28 14:14:17
315,49,152,7,2024-04-28 14:14:17
316,23,152,10,2024-04-28 14:14:20
317,416,152,10,2024-04-28 14:14:21
318,358,152,4,2024-04-28 14:14:23
319,1006,18,69,2024-04-28 21:38:14
320,359,18,38,2024-04-28 21:38:21
321,135,18,52,2024-04-28 21:38:26
322,39,18,17,2024-04-28 21:39:41
323,723,18,21,2024-04-28 21:39:42
324,49,18,29,2024-04-28 21:39:45
325,52,18,23,2024-04-28 21:39:46
326,723,152,10,2024-04-29 02:25:15
327,129,152,10,2024-04-29 02:25:19
328,424,152,6,2024-04-29 02:25:26
329,138,152,7,2024-04-29 02:25:27
330,13,160,15,2024-04-29 10:27:38
331,50,152,9,2024-04-30 02:16:29
332,27,152,6,2024-04-30 02:16:44
333,32,152,16,2024-04-30 02:16:46
334,156,152,12,2024-04-30 02:16:48
335,85,152,11,2024-05-01 02:30:14
336,152,152,18,2024-05-01 02:30:19
337,726,152,13,2024-05-01 02:30:25
338,130,47,10,2024-05-02 00:42:11
339,173,47,13,2024-05-02 00:42:46
340,1006,47,18,2024-05-02 00:43:58
341,1006,190,16,2024-05-02 00:53:59
342,16,190,19,2024-05-02 00:57:37
343,426,190,22,2024-05-02 00:59:56
344,424,190,39,2024-05-02 01:01:37
345,132,152,10,2024-05-02 14:14:54
346,376,152,30,2024-05-02 14:14:55
347,414,152,10,2024-05-03 02:25:17
348,58,152,15,2024-05-03 02:25:27
349,1007,152,11,2024-05-03 02:25:47
350,437,152,8,2024-05-03 02:27:37
352,83,152,7,2024-05-03 16:32:02
353,1060,152,9,2024-05-03 16:32:03
354,169,152,11,2024-05-03 16:32:04
355,175,1,14,2024-05-03 17:52:32
356,361,1,57,2024-05-03 17:52:34
357,252,1,24,2024-05-03 17:52:36
358,15,19,88,2024-05-05 11:26:16
359,361,152,34,2024-05-05 15:57:42
360,252,152,12,2024-05-06 03:31:35
361,100,152,15,2024-05-07 02:42:46
362,1059,152,13,2024-05-07 02:42:56
363,176,152,12,2024-05-07 02:42:56
364,171,152,7,2024-05-07 02:43:05
365,100,187,35,2024-05-07 09:32:22
367,19,187,80,2024-05-07 09:33:27
368,629,187,99,2024-05-07 09:38:43
369,133,187,37,2024-05-07 09:50:33
370,153,187,30,2024-05-07 09:57:30
371,143,187,25,2024-05-07 10:17:35
372,1006,187,23,2024-05-07 10:18:14
373,173,187,37,2024-05-07 10:22:24
374,84,187,29,2024-05-07 10:43:51
375,176,187,13,2024-05-07 11:14:02
376,169,187,15,2024-05-07 11:28:32
377,83,187,27,2024-05-07 11:28:55
378,1060,187,34,2024-05-07 11:40:09
379,171,187,94,2024-05-07 11:40:32
381,1059,187,25,2024-05-07 11:48:23
382,150,187,37,2024-05-07 11:50:51
383,13,187,17,2024-05-07 11:50:54
384,175,187,37,2024-05-07 11:54:35
385,130,187,99,2024-05-07 11:57:43
386,362,187,71,2024-05-07 12:01:13
387,147,152,8,2024-05-07 16:57:59
388,1063,152,10,2024-05-07 16:58:00
389,163,152,10,2024-05-08 03:01:45
391,469,9,70,2024-05-08 08:56:12
392,143,19,100,2024-05-08 09:31:58
393,546,187,27,2024-05-09 09:22:46
394,548,9,54,2024-05-09 11:43:50
395,638,9,58,2024-05-09 11:45:49
396,638,152,7,2024-05-09 14:46:27
397,627,9,46,2024-05-09 19:12:31
398,43,187,34,2024-05-10 07:23:26
399,627,152,8,2024-05-11 02:56:20
400,83,167,23,2024-05-11 07:39:16
402,175,167,20,2024-05-11 07:39:22
403,171,167,16,2024-05-11 07:39:31
404,163,167,8,2024-05-11 07:39:31
405,1063,167,12,2024-05-11 07:39:34
406,979,167,14,2024-05-11 07:39:43
407,147,167,12,2024-05-11 07:40:04
408,1059,167,8,2024-05-11 07:40:09
409,627,167,8,2024-05-11 07:40:11
410,549,167,10,2024-05-11 07:40:26
411,426,167,8,2024-05-11 07:40:38
412,359,167,9,2024-05-11 07:40:39
413,165,152,12,2024-05-11 13:17:16
414,1057,152,5,2024-05-11 13:17:19
415,363,152,16,2024-05-11 13:17:37
416,247,152,9,2024-05-11 13:17:45
417,213,1,52,2024-05-11 15:25:23
418,378,1,28,2024-05-11 15:25:24
419,377,1,43,2024-05-11 15:27:25
420,378,152,15,2024-05-12 16:13:14
421,377,152,32,2024-05-13 03:03:55
422,633,187,48,2024-05-13 17:54:17
423,414,187,72,2024-05-13 18:06:47
424,34,187,16,2024-05-13 18:07:02
425,560,187,17,2024-05-13 18:12:41
426,49,187,32,2024-05-13 18:12:44
427,1007,187,19,2024-05-13 18:13:35
428,426,187,47,2024-05-13 18:28:24
429,516,187,9,2024-05-13 18:33:17
430,56,187,21,2024-05-13 18:33:32
431,151,192,20,2024-05-14 05:10:37
432,979,192,23,2024-05-14 05:10:40
433,213,192,15,2024-05-14 05:10:41
434,1057,192,20,2024-05-14 05:12:11
435,647,9,73,2024-05-14 10:32:28
436,658,9,15,2024-05-14 10:32:30
437,163,148,13,2024-05-15 16:50:00
439,1060,1,61,2024-05-15 18:11:45
440,548,1,89,2024-05-15 18:12:03
441,647,1,53,2024-05-15 18:12:04
442,31,187,19,2024-05-17 11:11:59
443,16,187,99,2024-05-17 11:12:01
444,47,187,16,2024-05-17 11:16:33
445,160,187,6,2024-05-17 11:16:39
446,558,187,100,2024-05-17 11:26:54
447,359,187,99,2024-05-17 17:34:22
448,165,187,33,2024-05-17 17:45:50
449,33,187,62,2024-05-17 17:48:09
450,132,187,26,2024-05-17 17:48:47
451,213,187,99,2024-05-17 17:49:55
452,423,187,25,2024-05-17 18:00:39
453,151,187,27,2024-05-17 18:14:23
454,137,187,24,2024-05-17 18:21:21
455,647,152,11,2024-05-18 10:01:26
456,658,152,6,2024-05-18 10:01:27
457,47,152,30,2024-05-20 07:36:23
458,163,159,9,2024-05-20 08:08:39
460,173,192,15,2024-05-20 11:05:56
461,363,192,7,2024-05-20 11:05:56
462,1006,192,10,2024-05-20 11:05:58
463,247,192,9,2024-05-20 11:06:05
464,362,192,9,2024-05-20 11:06:05
465,436,187,33,2024-05-20 17:04:25
466,17,187,38,2024-05-20 17:04:59
467,154,187,29,2024-05-20 17:05:11
468,375,187,28,2024-05-20 17:29:22
469,164,187,15,2024-05-20 17:50:57
470,548,187,17,2024-05-20 17:51:17
471,841,187,25,2024-05-20 17:51:25
474,837,187,20,2024-05-20 17:51:28
476,517,187,22,2024-05-20 17:51:30
477,30,187,27,2024-05-20 17:51:31
478,767,187,24,2024-05-20 17:51:36
479,779,187,24,2024-05-20 17:51:36
481,785,187,33,2024-05-20 17:51:55
483,782,187,22,2024-05-20 17:51:57
484,781,187,72,2024-05-20 17:51:58
485,780,187,28,2024-05-20 17:51:58
486,770,187,23,2024-05-20 17:52:13
487,772,187,98,2024-05-20 17:52:15
488,771,187,100,2024-05-20 17:52:15
489,627,187,95,2024-05-20 18:01:37
491,363,9,20,2024-05-20 18:10:57
492,942,187,18,2024-05-20 18:12:12
493,163,9,53,2024-05-20 18:12:20
494,171,9,29,2024-05-20 18:13:53
495,247,9,72,2024-05-20 18:13:58
496,173,9,54,2024-05-20 18:15:27
497,155,187,34,2024-05-20 18:15:27
498,513,187,18,2024-05-20 18:15:30
499,85,187,38,2024-05-20 18:15:31
500,361,187,13,2024-05-20 18:15:33
501,658,187,28,2024-05-20 18:15:39
502,437,187,18,2024-05-20 18:15:41
503,129,187,99,2024-05-20 18:15:50
504,138,187,30,2024-05-20 18:15:50
505,52,187,78,2024-05-20 18:18:29
506,461,187,19,2024-05-20 18:18:31
507,723,187,27,2024-05-20 18:18:59
508,434,187,32,2024-05-20 18:19:02
509,424,187,20,2024-05-20 18:19:03
510,512,187,32,2024-05-20 18:19:36
511,83,9,55,2024-05-20 18:19:50
512,47,9,67,2024-05-20 18:20:20
513,837,9,26,2024-05-20 18:20:22
514,1059,9,33,2024-05-20 18:20:24
516,177,187,29,2024-05-20 18:21:40
517,979,187,24,2024-05-20 18:22:30
518,1063,187,36,2024-05-20 18:24:15
519,1057,187,37,2024-05-20 18:24:16
520,363,187,36,2024-05-20 18:24:32
521,163,187,67,2024-05-20 18:24:34
522,540,187,20,2024-05-20 18:27:50
523,131,187,15,2024-05-20 18:27:53
524,135,187,19,2024-05-20 18:27:54
525,415,187,21,2024-05-20 18:32:08
526,40,187,18,2024-05-20 18:32:19
527,148,187,19,2024-05-20 18:32:24
528,161,187,39,2024-05-20 18:32:49
529,35,187,31,2024-05-20 18:32:55
530,58,187,36,2024-05-20 18:33:00
531,26,187,28,2024-05-20 18:34:55
532,469,187,18,2024-05-20 18:34:56
533,590,187,26,2024-05-20 18:35:07
534,142,187,25,2024-05-20 18:42:49
535,82,187,22,2024-05-20 18:42:52
536,727,187,15,2024-05-20 18:42:55
537,551,187,68,2024-05-20 18:42:58
538,158,187,20,2024-05-21 12:12:34
539,782,152,14,2024-05-21 12:54:14
540,837,152,25,2024-05-21 12:54:15
541,767,152,9,2024-05-21 12:54:16
543,779,152,5,2024-05-21 12:54:19
544,13,9,52,2024-05-21 13:49:48
545,176,9,54,2024-05-21 14:04:51
546,169,9,49,2024-05-21 14:05:12
547,362,9,66,2024-05-21 14:05:36
548,147,9,53,2024-05-21 14:06:20
549,767,9,40,2024-05-21 14:06:22
550,782,9,37,2024-05-21 14:06:29
551,375,9,59,2024-05-21 14:09:00
552,36,187,25,2024-05-22 11:15:26
553,38,187,16,2024-05-22 11:15:39
554,549,187,18,2024-05-22 11:17:53
555,377,187,21,2024-05-22 11:33:12
556,247,187,23,2024-05-22 11:40:16
557,638,187,15,2024-05-22 11:45:52
558,722,187,43,2024-05-22 11:57:49
559,416,187,45,2024-05-22 11:57:49
560,942,152,7,2024-05-22 13:27:13
561,781,152,8,2024-05-23 02:00:26
562,780,152,18,2024-05-23 02:00:29
564,772,152,7,2024-05-24 01:54:30
565,156,187,26,2024-05-24 10:53:03
566,209,187,22,2024-05-24 11:07:01
567,23,187,24,2024-05-24 11:10:06
568,27,187,21,2024-05-24 11:18:54
569,252,187,81,2024-05-24 11:27:10
570,39,187,57,2024-05-24 11:27:13
571,50,187,41,2024-05-24 11:27:15
572,376,187,29,2024-05-24 11:33:46
573,726,187,48,2024-05-24 11:44:13
574,209,152,8,2024-05-24 13:56:29
575,785,152,9,2024-05-24 13:56:30
576,771,152,12,2024-05-24 13:56:36
577,375,152,15,2024-05-24 13:56:36
578,861,152,8,2024-05-24 13:56:40
579,849,152,10,2024-05-24 13:56:51
580,848,152,12,2024-05-24 13:57:02
581,847,152,13,2024-05-24 13:57:04
582,845,152,7,2024-05-24 13:57:08
583,844,152,10,2024-05-24 13:57:12
584,842,152,12,2024-05-24 13:57:20
585,838,152,9,2024-05-24 13:57:21
586,834,152,9,2024-05-24 13:57:23
587,822,152,8,2024-05-24 13:57:25
588,821,152,10,2024-05-24 13:57:26
590,781,190,25,2024-05-25 02:11:28
591,213,190,15,2024-05-25 02:11:29
592,363,190,21,2024-05-25 02:11:43
593,163,190,29,2024-05-25 02:12:03
594,772,190,28,2024-05-25 02:12:09
595,779,190,26,2024-05-25 02:12:10
596,849,190,41,2024-05-25 02:12:23
597,169,190,59,2024-05-25 02:12:39
598,209,190,58,2024-05-25 02:12:41
599,175,190,52,2024-05-25 02:13:11
600,1063,190,30,2024-05-25 02:13:18
602,100,190,30,2024-05-25 02:13:32
603,176,190,38,2024-05-25 02:13:51
604,785,190,7,2024-05-25 02:15:32
605,1057,190,56,2024-05-25 02:15:36
606,165,190,27,2024-05-25 02:15:54
607,837,190,37,2024-05-25 02:15:55
608,780,190,30,2024-05-25 02:15:58
609,627,190,45,2024-05-25 02:16:00
610,770,190,25,2024-05-25 02:16:02
611,551,5,88,2024-05-25 10:34:57
612,942,47,22,2024-05-25 19:11:14
614,834,47,21,2024-05-25 19:14:04
615,844,47,18,2024-05-25 19:14:05
616,821,47,17,2024-05-25 19:14:06
617,848,47,17,2024-05-25 19:14:08
618,861,47,13,2024-05-25 19:14:09
619,46,5,17,2024-05-26 06:05:12
620,44,5,24,2024-05-26 06:05:13
621,159,234,14,2024-05-28 17:07:20
622,213,152,8,2024-05-29 07:19:27
623,56,152,10,2024-05-29 07:19:31
624,379,9,14,2024-05-29 10:49:36
625,845,9,38,2024-05-29 10:52:07
627,842,9,63,2024-05-29 11:07:35
628,844,9,15,2024-05-29 11:26:47
629,252,9,27,2024-05-29 11:46:37
630,167,9,90,2024-05-29 17:41:43
631,59,9,97,2024-05-29 17:41:48
633,168,9,84,2024-05-29 17:44:13
634,386,9,77,2024-05-29 17:44:28
635,364,9,69,2024-05-29 17:44:29
636,385,9,79,2024-05-29 17:44:31
637,390,9,67,2024-05-29 19:29:17
638,365,9,93,2024-05-29 19:41:16
639,389,9,71,2024-05-29 19:47:04
640,46,1,75,2024-05-29 21:16:17
641,1006,1,35,2024-05-29 21:16:18
642,419,9,22,2024-05-29 21:59:32
643,724,187,24,2024-05-29 22:03:18
644,385,1,53,2024-05-29 22:09:02
645,379,152,5,2024-05-30 00:29:14
646,84,152,17,2024-05-30 00:29:26
647,821,9,44,2024-05-30 17:49:20
648,848,9,56,2024-05-30 17:51:05
649,942,9,48,2024-05-30 17:51:46
650,213,9,60,2024-05-30 17:52:26
651,834,9,61,2024-05-30 17:54:20
652,658,18,18,2024-06-01 04:42:38
653,785,18,87,2024-06-01 04:42:42
655,363,18,21,2024-06-01 04:42:51
656,1059,18,18,2024-06-01 04:42:57
657,177,152,10,2024-06-01 05:47:06
658,159,240,27,2024-06-01 14:30:45
659,560,240,28,2024-06-01 14:30:46
660,416,1,30,2024-06-01 14:38:37
661,161,240,13,2024-06-01 14:47:26
662,143,240,12,2024-06-01 14:47:27
663,29,9,98,2024-06-01 22:16:53
664,383,9,31,2024-06-01 22:17:44
665,422,9,99,2024-06-01 22:19:04
666,151,152,9,2024-06-02 02:51:56
667,848,187,99,2024-06-02 13:03:15
668,419,187,67,2024-06-02 13:42:10
669,845,187,84,2024-06-02 13:43:14
670,838,187,98,2024-06-02 14:05:06
671,379,187,99,2024-06-02 14:08:31
672,861,187,99,2024-06-02 14:08:42
673,844,187,99,2024-06-02 14:09:42
674,822,47,17,2024-06-02 19:13:57
675,847,47,14,2024-06-02 19:14:15
676,177,47,15,2024-06-02 19:14:16
677,658,47,14,2024-06-02 19:14:50
678,979,47,13,2024-06-02 19:14:51
679,1059,47,85,2024-06-02 19:14:52
680,779,47,18,2024-06-02 19:14:58
681,822,243,20,2024-06-03 09:51:16
682,847,243,15,2024-06-03 09:51:24
683,167,187,99,2024-06-03 11:23:52
684,365,187,64,2024-06-03 11:24:10
685,59,187,100,2024-06-03 11:24:23
686,29,187,98,2024-06-03 11:24:31
688,383,187,99,2024-06-03 11:31:33
689,422,187,99,2024-06-03 11:32:37
690,773,187,97,2024-06-03 11:32:51
691,774,187,98,2024-06-03 11:36:38
692,775,187,99,2024-06-03 11:37:07
693,776,187,86,2024-06-03 11:40:40
694,796,187,99,2024-06-03 11:41:35
695,817,187,99,2024-06-03 11:43:36
696,816,187,99,2024-06-03 11:44:49
